6666666.287696.peg.1_AG-205-J14_NODE_100_length_7952_cov_43.4255_ID_205_1561_1722_162_hypothetical_1	CopG family transcriptional regulator [Agrobacterium tumefaciens]	29.79	47	0.28
6666666.287696.peg.2_AG-205-J14_NODE_100_length_7952_cov_43.4255_ID_205_2441_4546_2106_Integrase_-_1	hypothetical protein CBB86_04640, partial [Candidatus Endolissoclinum sp. TMED26]	43.56	450	2e-113
6666666.287696.peg.3_AG-205-J14_NODE_100_length_7952_cov_43.4255_ID_205_5848_4982_867_hypothetical_1	hypothetical protein A2Z60_00370 [Nitrospirae bacterium RIFCSPLOWO2_02_42_7]	46.13	284	5e-63
6666666.287696.peg.4_AG-205-J14_NODE_100_length_7952_cov_43.4255_ID_205_6890_5868_1023_hypothetical_1	hypothetical protein [Thioalkalivibrio nitratireducens]	52.35	340	3e-130
6666666.287696.peg.5_AG-205-J14_NODE_100_length_7952_cov_43.4255_ID_205_7347_7556_210_hypothetical_1	signal peptidase I [Clostridium aurantibutyricum]	31.82	66	0.42
6666666.287696.peg.10_AG-205-J14_NODE_101_length_7899_cov_11.0926_ID_207_2866_3657_792_Glutamate_1	glutamate racemase [Candidatus Glassbacteria bacterium GWA2_58_10]	53.61	263	4e-80
6666666.287696.peg.11_AG-205-J14_NODE_101_length_7899_cov_11.0926_ID_207_5367_3664_1704_hypothetical_1	hypothetical protein [Burkholderia contaminans]	29.80	557	6e-62
6666666.287696.peg.12_AG-205-J14_NODE_101_length_7899_cov_11.0926_ID_207_6164_5364_801_DNA_1	hypothetical protein A2Z86_04095 [Candidatus Glassbacteria bacterium GWA2_58_10]	75.70	251	7e-139
6666666.287696.peg.13_AG-205-J14_NODE_101_length_7899_cov_11.0926_ID_207_6470_6198_273_hypothetical_1	hypothetical protein A2Z86_04090 [Candidatus Glassbacteria bacterium GWA2_58_10]	65.48	84	1e-31
6666666.287696.peg.14_AG-205-J14_NODE_101_length_7899_cov_11.0926_ID_207_7688_6492_1197_Biotin_1	hypothetical protein A2Z86_04085 [Candidatus Glassbacteria bacterium GWA2_58_10]	78.25	400	0.0
6666666.287696.peg.6_AG-205-J14_NODE_101_length_7899_cov_11.0926_ID_207_62_283_222_hypothetical_1	trigger factor [Candidatus Glassbacteria bacterium GWA2_58_10]	50.68	73	5e-16
6666666.287696.peg.7_AG-205-J14_NODE_101_length_7899_cov_11.0926_ID_207_307_888_582_ATP-dependent_1	ATP-dependent Clp endopeptidase, proteolytic subunit ClpP [Candidatus Glassbacteria bacterium GWA2_58_10]	86.53	193	7e-122
6666666.287696.peg.8_AG-205-J14_NODE_101_length_7899_cov_11.0926_ID_207_934_2199_1266_ATP-dependent_1	ATP-dependent protease ATP-binding subunit ClpX [Candidatus Glassbacteria bacterium GWA2_58_10]	82.90	421	0.0
6666666.287696.peg.9_AG-205-J14_NODE_101_length_7899_cov_11.0926_ID_207_2255_2863_609_hypothetical_1	hypothetical protein A2Z86_01345 [Candidatus Glassbacteria bacterium GWA2_58_10]	51.91	183	3e-59
