6666666.287483.peg.1_AG-205-A06_NODE_10_length_22048_cov_27.0118_ID_19_7_2079_2073_hypothetical_1	hypothetical protein A3F83_05335 [Candidatus Glassbacteria bacterium RIFCSPLOWO2_12_FULL_58_11]	55.56	675	0.0
6666666.287483.peg.10_AG-205-A06_NODE_10_length_22048_cov_27.0118_ID_19_11401_13089_1689_hypothetical_1	hypothetical protein A2Z86_10380 [Candidatus Glassbacteria bacterium GWA2_58_10]	67.79	562	0.0
6666666.287483.peg.11_AG-205-A06_NODE_10_length_22048_cov_27.0118_ID_19_13274_14428_1155_hypothetical_1	hypothetical protein A2Z86_10375 [Candidatus Glassbacteria bacterium GWA2_58_10]	71.16	319	3e-164
6666666.287483.peg.12_AG-205-A06_NODE_10_length_22048_cov_27.0118_ID_19_14754_15764_1011_electron_1	hypothetical protein A3F83_08010 [Candidatus Glassbacteria bacterium RIFCSPLOWO2_12_FULL_58_11]	69.07	333	2e-167
6666666.287483.peg.13_AG-205-A06_NODE_10_length_22048_cov_27.0118_ID_19_15769_16551_783_hypothetical_1	hypothetical protein A3F83_08015 [Candidatus Glassbacteria bacterium RIFCSPLOWO2_12_FULL_58_11]	56.15	260	2e-90
6666666.287483.peg.14_AG-205-A06_NODE_10_length_22048_cov_27.0118_ID_19_19381_16628_2754_putative_1	M6 family metalloprotease domain-containing protein [Calditrichaeota bacterium]	48.01	654	0.0
6666666.287483.peg.15_AG-205-A06_NODE_10_length_22048_cov_27.0118_ID_19_20761_19448_1314_COG3866_1	hypothetical protein A3F83_08025 [Candidatus Glassbacteria bacterium RIFCSPLOWO2_12_FULL_58_11]	64.43	433	0.0
6666666.287483.peg.16_AG-205-A06_NODE_10_length_22048_cov_27.0118_ID_19_21822_20764_1059_Gamma-glutamyl_1	glutamate-5-semialdehyde dehydrogenase [Candidatus Latescibacteria bacterium]	72.36	351	8e-175
6666666.287483.peg.2_AG-205-A06_NODE_10_length_22048_cov_27.0118_ID_19_2100_2828_729_probable_1	hypothetical protein A3F83_05330 [Candidatus Glassbacteria bacterium RIFCSPLOWO2_12_FULL_58_11]	68.06	216	6e-104
6666666.287483.peg.4_AG-205-A06_NODE_10_length_22048_cov_27.0118_ID_19_3064_4902_1839_"Serine/threonine_1	hypothetical protein A3F83_05325 [Candidatus Glassbacteria bacterium RIFCSPLOWO2_12_FULL_58_11]	67.15	621	0.0
6666666.287483.peg.5_AG-205-A06_NODE_10_length_22048_cov_27.0118_ID_19_5058_6779_1722_Type_1	site-specific DNA-methyltransferase [Deltaproteobacteria bacterium CG07_land_8_20_14_0_80_60_11]	60.53	565	0.0
6666666.287483.peg.6_AG-205-A06_NODE_10_length_22048_cov_27.0118_ID_19_6872_7633_762_Diadenylate_1	TIGR00159 family protein [Candidatus Glassbacteria bacterium RIFCSPLOWO2_12_FULL_58_11]	73.31	251	2e-133
6666666.287483.peg.7_AG-205-A06_NODE_10_length_22048_cov_27.0118_ID_19_7653_8609_957_Uncharacterized_1	hypothetical protein A3F83_05315 [Candidatus Glassbacteria bacterium RIFCSPLOWO2_12_FULL_58_11]	55.03	318	2e-123
6666666.287483.peg.8_AG-205-A06_NODE_10_length_22048_cov_27.0118_ID_19_8693_9301_609_hypothetical_1	hypothetical protein A3F83_05310 [Candidatus Glassbacteria bacterium RIFCSPLOWO2_12_FULL_58_11]	52.54	177	1e-47
6666666.287483.peg.9_AG-205-A06_NODE_10_length_22048_cov_27.0118_ID_19_9355_11388_2034_hypothetical_1	hypothetical protein A3F83_05305 [Candidatus Glassbacteria bacterium RIFCSPLOWO2_12_FULL_58_11]	59.29	678	0.0
6666666.287483.peg.17_AG-205-A06_NODE_11_length_21932_cov_50.9167_ID_21_1917_376_1542_NAD(P)HX_1	hypothetical protein A3F83_08990 [Candidatus Glassbacteria bacterium RIFCSPLOWO2_12_FULL_58_11]	57.45	510	0.0
6666666.287483.peg.19_AG-205-A06_NODE_11_length_21932_cov_50.9167_ID_21_2305_2114_192_hypothetical_1	hypothetical protein A3F83_08985 [Candidatus Glassbacteria bacterium RIFCSPLOWO2_12_FULL_58_11]	88.71	62	2e-33
6666666.287483.peg.20_AG-205-A06_NODE_11_length_21932_cov_50.9167_ID_21_2904_2347_558_hypothetical_1	hypothetical protein A3F83_08980 [Candidatus Glassbacteria bacterium RIFCSPLOWO2_12_FULL_58_11]	37.50	160	2e-25
6666666.287483.peg.21_AG-205-A06_NODE_11_length_21932_cov_50.9167_ID_21_3287_2922_366_Pole_1	hypothetical protein A3F83_08975 [Candidatus Glassbacteria bacterium RIFCSPLOWO2_12_FULL_58_11]	64.96	117	7e-49
6666666.287483.peg.22_AG-205-A06_NODE_11_length_21932_cov_50.9167_ID_21_6493_3284_3210_Carbamoyl-phosphate_1	carbamoyl phosphate synthase large subunit [Candidatus Glassbacteria bacterium RIFCSPLOWO2_12_FULL_58_11]	79.33	1069	0.0
6666666.287483.peg.23_AG-205-A06_NODE_11_length_21932_cov_50.9167_ID_21_7043_6558_486_Phosphodiesterase_1	hypothetical protein A3F83_08965 [Candidatus Glassbacteria bacterium RIFCSPLOWO2_12_FULL_58_11]	64.78	159	7e-68
6666666.287483.peg.24_AG-205-A06_NODE_11_length_21932_cov_50.9167_ID_21_8556_7126_1431_"Prolyl-tRNA_1	proline--tRNA ligase [Candidatus Glassbacteria bacterium RIFCSPLOWO2_12_FULL_58_11]	78.36	476	0.0
6666666.287483.peg.25_AG-205-A06_NODE_11_length_21932_cov_50.9167_ID_21_8825_8661_165_hypothetical_1	hypothetical protein C5B59_01655 [Bacteroidetes bacterium]	46.94	49	0.095
6666666.287483.peg.26_AG-205-A06_NODE_11_length_21932_cov_50.9167_ID_21_9540_9124_417_hypothetical_1	hypothetical protein D917_08750 [Trichinella nativa]	31.11	90	0.018
6666666.287483.peg.27_AG-205-A06_NODE_11_length_21932_cov_50.9167_ID_21_10655_9636_1020_2-keto-3-deoxy-D-arabino-heptulosonate-7-phosphate_1	3-deoxy-7-phosphoheptulonate synthase [Candidatus Glassbacteria bacterium RIFCSPLOWO2_12_FULL_58_11]	82.89	339	0.0
6666666.287483.peg.28_AG-205-A06_NODE_11_length_21932_cov_50.9167_ID_21_11781_10714_1068_3-isopropylmalate_1	3-isopropylmalate dehydrogenase [Candidatus Glassbacteria bacterium RIFCSPLOWO2_12_FULL_58_11]	84.86	350	0.0
6666666.287483.peg.29_AG-205-A06_NODE_11_length_21932_cov_50.9167_ID_21_12485_11865_621_3-isopropylmalate_1	3-isopropylmalate dehydratase small subunit [Candidatus Glassbacteria bacterium RIFCSPLOWO2_12_FULL_58_11]	73.79	206	2e-110
6666666.287483.peg.30_AG-205-A06_NODE_11_length_21932_cov_50.9167_ID_21_13919_12522_1398_3-isopropylmalate_1	3-isopropylmalate dehydratase large subunit [Candidatus Glassbacteria bacterium RIFCSPLOWO2_12_FULL_58_11]	80.43	465	0.0
6666666.287483.peg.31_AG-205-A06_NODE_11_length_21932_cov_50.9167_ID_21_15584_13977_1608_2-isopropylmalate_1	2-isopropylmalate synthase [Candidatus Glassbacteria bacterium GWA2_58_10]	76.85	514	0.0
6666666.287483.peg.32_AG-205-A06_NODE_11_length_21932_cov_50.9167_ID_21_16757_15735_1023_2-keto-3-deoxy-D-arabino-heptulosonate-7-phosphate_1	3-deoxy-7-phosphoheptulonate synthase [Candidatus Glassbacteria bacterium GWA2_58_10]	79.12	340	0.0
6666666.287483.peg.33_AG-205-A06_NODE_11_length_21932_cov_50.9167_ID_21_17088_16762_327_Chorismate_1	hypothetical protein A2Z86_11445 [Candidatus Glassbacteria bacterium GWA2_58_10]	66.28	86	1e-29
6666666.287483.peg.34_AG-205-A06_NODE_11_length_21932_cov_50.9167_ID_21_17909_17412_498_hypothetical_1	hypothetical protein A2Z86_11450 [Candidatus Glassbacteria bacterium GWA2_58_10]	86.06	165	1e-95
6666666.287483.peg.35_AG-205-A06_NODE_11_length_21932_cov_50.9167_ID_21_19274_18015_1260_Adenosylhomocysteinase_1	adenosylhomocysteinase [Candidatus Glassbacteria bacterium RIFCSPLOWO2_12_FULL_58_11]	79.24	419	0.0
6666666.287483.peg.36_AG-205-A06_NODE_11_length_21932_cov_50.9167_ID_21_20105_19431_675_hypothetical_1	hypothetical protein A2Z86_11460 [Candidatus Glassbacteria bacterium GWA2_58_10]	54.77	199	9e-79
6666666.287483.peg.37_AG-205-A06_NODE_11_length_21932_cov_50.9167_ID_21_20635_20270_366_hypothetical_1	hypothetical protein A2Z86_11465 [Candidatus Glassbacteria bacterium GWA2_58_10]	42.61	115	2e-24
6666666.287483.peg.38_AG-205-A06_NODE_11_length_21932_cov_50.9167_ID_21_21152_20940_213_hypothetical_1	hypothetical protein A3F83_08900 [Candidatus Glassbacteria bacterium RIFCSPLOWO2_12_FULL_58_11]	45.59	68	3e-12
6666666.287483.peg.39_AG-205-A06_NODE_11_length_21932_cov_50.9167_ID_21_21297_21512_216_hypothetical_1	hypothetical protein A3F83_08895 [Candidatus Glassbacteria bacterium RIFCSPLOWO2_12_FULL_58_11]	76.06	71	6e-32
6666666.287483.peg.40_AG-205-A06_NODE_12_length_20976_cov_25.4538_ID_23_2527_752_1776_"ABC_1	ABC transporter ATP-binding protein [Ruminiclostridium cellobioparum]	33.45	580	2e-110
