6666666.287698.peg.1_AG-205-N05_NODE_100_length_3430_cov_19.1399_ID_199_970_245_726_hypothetical_1	hypothetical protein EH223_06910 [candidate division KSB1 bacterium]	51.11	225	3e-75
6666666.287698.peg.2_AG-205-N05_NODE_100_length_3430_cov_19.1399_ID_199_3207_967_2241_FIG00898163_1	ATP-binding cassette domain-containing protein [Prolixibacter bellariivorans]	57.28	728	0.0
6666666.287698.peg.3_AG-205-N05_NODE_101_length_3379_cov_31.4007_ID_201_951_1139_189_hypothetical_1	MazG family protein [Nocardioides sp. MMS17-SY117]	39.58	48	0.46
6666666.287698.peg.4_AG-205-N05_NODE_101_length_3379_cov_31.4007_ID_201_2618_2124_495_hypothetical_1	hypothetical protein DRI98_14360 [Bacteroidetes bacterium]	46.20	158	2e-29
6666666.287698.peg.5_AG-205-N05_NODE_102_length_3240_cov_40.6337_ID_203_69_743_675_stage_1	hypothetical protein A2Z86_10635, partial [Candidatus Glassbacteria bacterium GWA2_58_10]	50.45	220	3e-72
6666666.287698.peg.6_AG-205-N05_NODE_102_length_3240_cov_40.6337_ID_203_782_3007_2226_hypothetical_1	hypothetical protein A3F83_06190 [Candidatus Glassbacteria bacterium RIFCSPLOWO2_12_FULL_58_11]	53.89	746	0.0
6666666.287698.peg.7_AG-205-N05_NODE_103_length_3190_cov_50.1404_ID_205_965_1642_678_hypothetical_1	hypothetical protein A3F83_03310 [Candidatus Glassbacteria bacterium RIFCSPLOWO2_12_FULL_58_11]	51.97	229	4e-78
6666666.287698.peg.8_AG-205-N05_NODE_103_length_3190_cov_50.1404_ID_205_2730_1711_1020_hypothetical_1	alpha-N-acetylgalactosaminidase [Verrucomicrobia bacterium]	28.25	223	1e-08
6666666.287698.peg.9_AG-205-N05_NODE_104_length_3056_cov_32.5779_ID_207_267_1004_738_hypothetical_1	hypothetical protein [Paracoccus sanguinis]	39.02	82	7.7
6666666.287698.peg.12_AG-205-N05_NODE_105_length_3136_cov_6.76014_ID_209_312_977_666_hypothetical_1	hypothetical protein A3F83_01045 [Candidatus Glassbacteria bacterium RIFCSPLOWO2_12_FULL_58_11]	55.66	221	2e-79
6666666.287698.peg.13_AG-205-N05_NODE_105_length_3136_cov_6.76014_ID_209_2292_1087_1206_Cystathionine_1	PLP-dependent transferase [Methanosphaerula palustris]	65.15	396	0.0
6666666.287698.peg.14_AG-205-N05_NODE_105_length_3136_cov_6.76014_ID_209_2906_2421_486_Phytanoyl-CoA_1	phytanoyl-CoA dioxygenase family protein [Planctomycetes bacterium]	61.25	160	5e-62
6666666.287698.peg.15_AG-205-N05_NODE_106_length_3019_cov_24.0247_ID_211_76_486_411_hypothetical_1	hypothetical protein A3F83_06370 [Candidatus Glassbacteria bacterium RIFCSPLOWO2_12_FULL_58_11]	50.37	135	8e-34
6666666.287698.peg.16_AG-205-N05_NODE_106_length_3019_cov_24.0247_ID_211_1155_571_585_Soluble_1	hypothetical protein A3F83_06375 [Candidatus Glassbacteria bacterium RIFCSPLOWO2_12_FULL_58_11]	61.98	192	1e-81
6666666.287698.peg.18_AG-205-N05_NODE_106_length_3019_cov_24.0247_ID_211_1684_1824_141_hypothetical_1	hypothetical protein DRG82_16930 [Deltaproteobacteria bacterium]	48.57	35	5.5
6666666.287698.peg.19_AG-205-N05_NODE_106_length_3019_cov_24.0247_ID_211_2810_1905_906_hypothetical_1	hypothetical protein A2Z86_03325 [Candidatus Glassbacteria bacterium GWA2_58_10]	65.33	300	1e-142
6666666.287698.peg.20_AG-205-N05_NODE_107_length_3009_cov_17.6953_ID_213_4_387_384_RecD-like_1	hypothetical protein A3F83_08530 [Candidatus Glassbacteria bacterium RIFCSPLOWO2_12_FULL_58_11]	67.72	127	6e-50
6666666.287698.peg.21_AG-205-N05_NODE_107_length_3009_cov_17.6953_ID_213_443_1348_906_Orotidine_1	orotidine 5'-phosphate decarboxylase [Candidatus Glassbacteria bacterium RIFCSPLOWO2_12_FULL_58_11]	59.18	267	1e-107
