6666666.287694.peg.1_AG-205-D02_NODE_100_length_5968_cov_10.897_ID_215_324_1325_1002_cAMP-binding_1	hypothetical protein A2Z86_02505 [Candidatus Glassbacteria bacterium GWA2_58_10]	52.85	333	2e-114
6666666.287694.peg.2_AG-205-D02_NODE_100_length_5968_cov_10.897_ID_215_1378_2088_711_Flagellar_1	hypothetical protein A3F83_09115 [Candidatus Glassbacteria bacterium RIFCSPLOWO2_12_FULL_58_11]	70.34	236	1e-123
6666666.287694.peg.3_AG-205-D02_NODE_100_length_5968_cov_10.897_ID_215_2144_2725_582_hypothetical_1	hypothetical protein A2Z86_02515 [Candidatus Glassbacteria bacterium GWA2_58_10]	62.50	192	9e-85
6666666.287694.peg.4_AG-205-D02_NODE_100_length_5968_cov_10.897_ID_215_5573_3036_2538_Leucyl-tRNA_1	leucine--tRNA ligase [candidate division KSB1 bacterium 4484_87]	57.57	846	0.0
6666666.287694.peg.5_AG-205-D02_NODE_101_length_5954_cov_12.7261_ID_217_1438_818_621_3-isopropylmalate_1	3-isopropylmalate dehydratase small subunit [Candidatus Glassbacteria bacterium RIFCSPLOWO2_12_FULL_58_11]	73.79	206	2e-110
6666666.287694.peg.6_AG-205-D02_NODE_101_length_5954_cov_12.7261_ID_217_2872_1475_1398_3-isopropylmalate_1	3-isopropylmalate dehydratase large subunit [Candidatus Glassbacteria bacterium RIFCSPLOWO2_12_FULL_58_11]	80.43	465	0.0
6666666.287694.peg.7_AG-205-D02_NODE_101_length_5954_cov_12.7261_ID_217_4537_2930_1608_2-isopropylmalate_1	2-isopropylmalate synthase [Candidatus Glassbacteria bacterium GWA2_58_10]	76.85	514	0.0
6666666.287694.peg.8_AG-205-D02_NODE_101_length_5954_cov_12.7261_ID_217_5710_4688_1023_2-keto-3-deoxy-D-arabino-heptulosonate-7-phosphate_1	3-deoxy-7-phosphoheptulonate synthase [Candidatus Glassbacteria bacterium GWA2_58_10]	79.12	340	0.0
6666666.287694.peg.10_AG-205-D02_NODE_102_length_5887_cov_52.9333_ID_219_664_1455_792_Glutamate_1	glutamate racemase [Candidatus Glassbacteria bacterium GWA2_58_10]	53.61	263	4e-80
6666666.287694.peg.11_AG-205-D02_NODE_102_length_5887_cov_52.9333_ID_219_3165_1462_1704_hypothetical_1	hypothetical protein [Burkholderia contaminans]	29.80	557	6e-62
6666666.287694.peg.12_AG-205-D02_NODE_102_length_5887_cov_52.9333_ID_219_3962_3162_801_DNA_1	hypothetical protein A2Z86_04095 [Candidatus Glassbacteria bacterium GWA2_58_10]	75.70	251	7e-139
6666666.287694.peg.13_AG-205-D02_NODE_102_length_5887_cov_52.9333_ID_219_4268_3996_273_hypothetical_1	hypothetical protein A2Z86_04090 [Candidatus Glassbacteria bacterium GWA2_58_10]	65.48	84	1e-31
6666666.287694.peg.14_AG-205-D02_NODE_102_length_5887_cov_52.9333_ID_219_5486_4290_1197_Biotin_1	hypothetical protein A2Z86_04085 [Candidatus Glassbacteria bacterium GWA2_58_10]	78.25	400	0.0
6666666.287694.peg.9_AG-205-D02_NODE_102_length_5887_cov_52.9333_ID_219_53_661_609_hypothetical_1	hypothetical protein A2Z86_01345 [Candidatus Glassbacteria bacterium GWA2_58_10]	51.91	183	3e-59
6666666.287694.peg.15_AG-205-D02_NODE_103_length_5861_cov_13.831_ID_221_1386_532_855_Cell_1	hypothetical protein A3F83_01850 [Candidatus Glassbacteria bacterium RIFCSPLOWO2_12_FULL_58_11]	73.24	284	8e-136
6666666.287694.peg.16_AG-205-D02_NODE_103_length_5861_cov_13.831_ID_221_2148_1423_726_"Cell_1	cell division ATP-binding protein FtsE [Candidatus Glassbacteria bacterium RIFCSPLOWO2_12_FULL_58_11]	71.74	230	2e-114
6666666.287694.peg.17_AG-205-D02_NODE_103_length_5861_cov_13.831_ID_221_3194_2145_1050_4-hydroxythreonine-4-phosphate_1	4-hydroxythreonine-4-phosphate dehydrogenase PdxA [Candidatus Glassbacteria bacterium RIFCSPLOWO2_12_FULL_58_11]	64.53	327	4e-136
6666666.287694.peg.18_AG-205-D02_NODE_103_length_5861_cov_13.831_ID_221_4531_3197_1335_Peptidyl-prolyl_1	hypothetical protein A3F83_01865 [Candidatus Glassbacteria bacterium RIFCSPLOWO2_12_FULL_58_11]	60.23	440	0.0
6666666.287694.peg.19_AG-205-D02_NODE_103_length_5861_cov_13.831_ID_221_5626_4772_855_FOG_1	tetratricopeptide repeat protein [candidate division TA06 bacterium]	56.25	176	5e-62
6666666.287694.peg.19_AG-205-D02_NODE_103_length_5861_cov_13.831_ID_221_5626_4772_855_FOG_1	tetratricopeptide repeat protein [candidate division TA06 bacterium]	50.65	154	2e-43
6666666.287694.peg.20_AG-205-D02_NODE_104_length_5785_cov_54.971_ID_223_1401_2015_615_hypothetical_1	hypothetical protein [Neisseria weaveri]	44.09	93	0.25
6666666.287694.peg.20_AG-205-D02_NODE_104_length_5785_cov_54.971_ID_223_1401_2015_615_hypothetical_1	hypothetical protein [Neisseria weaveri]	43.16	95	0.28
6666666.287694.peg.21_AG-205-D02_NODE_104_length_5785_cov_54.971_ID_223_3693_3211_483_1-acyl-sn-glycerol-3-phosphate_1	hypothetical protein A3F83_08555 [Candidatus Glassbacteria bacterium RIFCSPLOWO2_12_FULL_58_11]	55.92	152	1e-49
6666666.287694.peg.22_AG-205-D02_NODE_104_length_5785_cov_54.971_ID_223_4092_5546_1455_Apolipoprotein_1	apolipoprotein N-acyltransferase [Candidatus Glassbacteria bacterium RIFCSPLOWO2_12_FULL_58_11]	58.06	484	0.0
6666666.287694.peg.23_AG-205-D02_NODE_105_length_5728_cov_52.3247_ID_225_709_1578_870_Phosphocholine_1	phosphocholine cytidylyltransferase family protein [Desulfocapsa sp.]	68.42	247	3e-115
6666666.287694.peg.24_AG-205-D02_NODE_105_length_5728_cov_52.3247_ID_225_1803_2906_1104_Aspartate_1	histidinol-phosphate aminotransferase family protein [Kiritimatiellales bacterium]	76.58	363	0.0
6666666.287694.peg.25_AG-205-D02_NODE_105_length_5728_cov_52.3247_ID_225_2913_3587_675_CDP-diacylglycerol--serine_1	CDP-alcohol phosphatidyltransferase [bacterium BMS3Bbin14]	83.08	201	4e-118
6666666.287694.peg.26_AG-205-D02_NODE_105_length_5728_cov_52.3247_ID_225_3647_4498_852_SAM-dependent_1	hypothetical protein DRH24_14140 [Deltaproteobacteria bacterium]	79.21	279	3e-164
6666666.287694.peg.27_AG-205-D02_NODE_106_length_5711_cov_29.8812_ID_227_8_226_219_Mobile_1	transposase InsO family protein [Halanaerobium congolense]	70.83	72	8e-27
6666666.287694.peg.28_AG-205-D02_NODE_106_length_5711_cov_29.8812_ID_227_858_325_534_Positive_1	chemotaxis protein CheW [Planctomycetes bacterium]	63.16	152	5e-57
